Pitäjä	X	Y
Aitolahti	335601.52006991	6828352.2589313
Akaa	330888.82808989	6783358.4710901
Alahärmä	289219.5725807	7020907.8318042
Alajärvi	343760.35270947	6991766.0901512
Alastaro	273553.11089051	6767470.2373016
Alatornio	372880.00010423	7303113.0002118
Alaveteli	326053.24479215	7068061.1568589
Alavieska	370927.1422699	7120831.0556342
Alavus	319677.18671574	6942521.2060504
Angelniemi	273685.79508243	6698575.1625665
Anjala	486147.39046607	6730666.901037
Antrea	618090.46281457	6754369.5897413
Anttola	538475.52100563	6830287.5454404
Artjärvi	450223.32627956	6736509.3397122
Asikkala	425692.59507261	6787410.6107462
Askainen	216642.47548974	6722587.6930042
Askola	425128.46658465	6712670.9837687
Aura	258053.93503608	6732227.216534
Elimäki	474690.40611608	6733460.551045
Eno	668615.41676896	6971310.7146342
Enonkoski	599670.53574873	6890698.7372104
Enontekiö	331536.54634413	7622973.763530598
Eräjärvi	372352.44147752	6829408.6489441
Eura	236146.70971438	6786078.7571764
Eurajoki	216454.26361937	6799600.2559146
Evijärvi	321641.99555208	7033323.5146646
Forssa	316657.1765177	6750231.6239582
Haapajärvi	419844.53391764	7073133.0254602
Haapakangas	691196.68053368	6666139.0469223
Haapasaari	510621.00951468	6683846.703852
Haapavesi	421146.40873911	7114023.0415593
Halikko	280035.19143779	6709602.930936
Halsua	363411.27217121	7038194.284152
Hankasalmi	472438.89775613	6917643.5096068
Harjavalta	241161.18781056	6809444.4968293
Harlu	709604.64701251	6859374.9796685
Hartola	450546.04155962	6828887.7862701
Hattula	352255.17808442	6766546.6248466
Hauho	371529.11994253	6786021.9001319
Haukipudas	433794.05428163	7231953.6224684
Haukivuori	508141.57909784	6880536.985045
Hausjärvi	385937.66359586	6737730.4488038
Heinjoki	621421.09940225	6732630.8683607
Heinola	454977.60577335	6792059.7585201
Heinävesi	590614.88996317	6924057.5639006
Hevaa	620737.89931325	6628182.6476101
Hietamäki	669684.05275133	6630254.8737618
Hietaniemi	339312.06439785	7360529.210387699
Hiitola	644334.59102563	6793803.4291774
Himanka	343007.36757754	7108806.2869491
Hinnerjoki	229952.32471375	6770900.0834871
Hirvensalmi	485757.27297977	6840398.3713526
Hollola	421623.61951247	6763777.1938545
Honkajoki	250831.98952589	6884679.4247362
Honkilahti	239003.66326489	6769457.138837
Huittinen	271355.12446077	6788184.1213773
Humppila	302060.55600084	6762013.5527344
Hyrynsalmi	583333.60364904	7172246.7957147
Hyvinkää	382315.40059437	6721690.4622362
Hämeenkyrö	298335.44097589	6838384.8189648
Hämeenlinna	362919.29677794	6765031.9250684
Ii	430384.24234573	7256587.1217444
Iisalmi	509048.44811296	7044733.9943391
Iitti	465401.66214037	6755340.6330687
Ikaalinen	293889.50374568	6861244.2874488
Ilmajoki	272731.1112626	6963109.964132
Ilomantsi	704943.1591841	6976159.139653
Impilahti	737974.68683558	6849298.1091066
Inkere	703369.74620355	6620939.9763001
Isojoki	234395.2517226	6897337.5219097
Isokyrö	262604.26433655	6991156.5815559
Jaakkima	671182.86838784	6830360.2509216
Jaala	474208.84528999	6777269.7661553
Jalasjärvi	285311.8975615	6929400.9447897
Janakkala	375752.61057544	6751122.1402186
Joensuu	644418.25551521	6944139.2098543
Johannes	601813.20779789	6710835.1708735
Jokioinen	307191.99743681	6749994.0364272
Joroinen	542223.71703126	6894588.7704635
Joutsa	460569.60463949	6848120.3590156
Joutseno	585168.55020305	6779871.0925443
Juankoski	570001.22091395	6995064.8174008
Jukkasjärvi	196287.41281465	7577667.1994696995
Jurva	239923.5661554	6958244.9008385
Juuka	611375.15572343	7011143.5960973
Juupajoki	367479.69422722	6856947.2743457
Juva	544409.68847346	6857047.5291533
Jyväskylä	433991.9625312	6906607.5174883
Jällivaara	216542.20546246	7476318.775493699
Jämijärvi	273203.50298809	6864726.4596009
Jämsä	406694.41693158	6862611.4846994
Jäppilä	524631.30657293	6917574.4143705
Jääski	605378.33846469	6770234.665494
Kaaresuvanto	278572.60127457	7605355.6336149
Kaarina	245899.84371656	6705356.1175595
Kaavi	590233.76877341	6984396.3788247
Kajaani	534097.41280668	7110322.8781819
Kakskerta	236542.54479365	6703592.5126512
Kalajoki	354423.57296839	7127612.7037106
Kalanti	200914.10266393	6753851.4395934
Kallivere	483109.113568	6509287.4844799
Kalvola	340175.81842408	6771501.3603688
Kangasala	346576.61673901	6818380.7751397
Kangaslampi	570620.70103285	6905191.5271235
Kangasniemi	481792.42564356	6878968.0433673
Kankaanpää	257898.75671408	6865692.8023822
Kanneljärvi	639587.12792451	6690985.6262218
Kannonkoski	417322.77959458	6983471.1267127
Kannus	353747.29764273	7091031.9355113
Kaprio	620737.89931325	6628182.6476101
Karijoki	227517.76675632	6921206.9173985
Karinainen	271975.69281536	6733635.9874236
Karjala Tl.	235577.50759254	6753071.911898
Karjalohja	319870.79980924	6682859.6937988
Karkku	290415.01726768	6815036.9739077
Karstula	387897.73567722	6975557.5376015
Karttula	507471.59643946	6973942.2587277
Karuna	255455.57042732	6691064.1472986
Karunki	366918.18920461	7333065.853722799
Karvia	271644.20447665	6899035.4351543
Kattila	594220.1826677	6607552.7162788
Kauhajoki	254383.9018528	6920944.4690993
Kauhava	305681.21106653	7004171.7252073
Kaukola	652074.40394984	6775895.0974274
Kaustinen	339949.83035451	7054639.3832197
Kauvatsa	259021.33441525	6813434.1088136
Keikyä	269136.87864506	6801144.9188332
Keitele	466912.02728851	7009054.4510233
Keltto	708536.39296062	6644527.2407029
Kemi	398717.28263399	7307215.026669398
Kemijärvi	516483.14039496	7398586.955173501
Kempele	431893.8456063	7198328.8815364
Kerava	395539.54655451	6698099.3215536
Kerimäki	622417.35964058	6873861.5447654
Kestilä	469628.2220583	7134055.130875
Kesälahti	647169.10841334	6870645.5634446
Keuruu	380646.40782848	6906466.122704
Kihniö	302398.06174546	6902738.7911835
Kiihtelysvaara	673783.91944259	6932642.3952144
Kiikala	309170.39036606	6708108.7507987
Kiikka	272406.48273844	6807692.9271039
Kiikoinen	265830.63054923	6822118.1630112
Kiiminki	444513.98107331	7224957.155883299
Kinnula	401521.33161457	7024759.1124529
Kirvu	628892.69196342	6775719.6067539
Kisko	304916.78721813	6685619.7043775
Kitee	659721.9798138	6887605.7401732
Kittilä	417645.10895143	7525980.385739101
Kiukainen	233556.64022538	6798743.9844051
Kiuruvesi	478108.9815815	7062086.2722668
Kivennapa	658965.45676774	6696138.3830691
Kivijärvi	402998.88087913	7004923.1843322
Kodisjoki	213685.93767699	6778596.8670413
Koijärvi	318232.80309	6762444.1986697
Koivisto	597091.05464916	6698901.799561
Kokemäki	252167.95381537	6804595.0298188
Kolari	377113.89086226	7463660.819216599
Kolppana	672994.8386622	6603834.7018228
Konginkangas	442102.32620772	6965947.6978021
Konnevesi	465062.11299813	6948291.3933062
Kontiolahti	648279.06709223	6966601.2667264
Korpilahti	426913.95319326	6876864.8801419
Korpilompolo	316421.74093933	7431795.1431278
Korpiselkä	730046.4964154199	6917691.1839907
Kortesjärvi	307949.96504034	7021789.9447776
Kosemkina	571556.87497166	6599844.2658506
Koskenpää	400732.49506552	6887339.763107
Koski Hl.	401595.56099113	6765122.1310557
Koski Tl.	287975.13447409	6730679.8523682
Kuhmalahti	378931.55047561	6821237.9212213
Kuhmoinen	404568.7623354	6832973.9946204
Kuhmoniemi	631593.95074176	7120576.956016
Kuivaniemi	440409.36565471	7282277.752723599
Kullaa	244728.40805524	6827506.9508253
Kuokkala	658634.26910412	6673740.0489412
Kuolajärvi	584557.292641	7433773.061478099
Kuolemajärvi	611421.15571518	6698838.0659401
Kuopio	531609.45828791	6973317.8369586
Kuorevesi	384438.58630411	6868139.2429436
Kuortane	321681.03683604	6967075.9821441
Kupanitsa	643190.89645961	6602467.8819701
Kurikka	260383.70115684	6948617.2646907
Kurkijoki	654762.40494938	6808657.1055012
Kuru	320979.62358474	6875717.4114554
Kustavi	186445.76996755	6724557.7930353
Kuusamo	604841.15047558	7320039.507169299
Kuusankoski	480257.14164885	6752728.2804362
Kuusjoki	293575.336063	6717934.9593627
Kuusjärvi	602512.26294086	6957399.7276507
Kylmäkoski	320554.19685672	6784192.4943299
Kymi	495352.59168025	6713897.2338926
Kyyjärvi	377508.83899754	6994178.4695886
Käkisalmi	670091.77534328	6765732.7480538
Kälviä	341775.2648124	7072745.1548127
Kärkölä	407165.88750001	6749028.8824898
Kärsämäki	444598.00425863	7093617.8455561
Köyliö	251356.57849913	6786693.4385966
Laihia	243981.46627773	6978828.7469904
Laitila	217320.66837762	6762493.575466
Lammi	394297.09092392	6779169.6669556
Lapinjärvi	457926.10355282	6721968.8800375
Lapinlahti	524661.64068407	7024836.9377163
Lappajärvi	328827.75950701	7012464.3436685
Lappee	565501.43013597	6762468.5992541
Lappi Tl.	222845.20724601	6783410.4383481
Lapua	304574.89299275	6984892.0881698
Lapväärtti	217344.93254879	6907134.4297539
Laukaa	449120.56832112	6918494.4751031
Lavansaari	548532.22162391	6653570.6878002
Lavia	261144.715362	6839005.9169358
Lehtimäki	342703.80078446	6971817.5142855
Leivonmäki	455091.92200815	6869273.0897893
Lemi	543828.54390587	6771854.8938706
Lempaala	681751.49715204	6694765.2972367
Lempäälä	326155.48587884	6802085.9876362
